 Branches: Fyole Wakad Timeline: Jun-2024,,,,,
Description,Fyole Wakad,,Mapping with?,,
  Avg Sale Per Transaction,387.78,,,,
  No. of People,216,,,,
  Avg Sale Per Person,96.95,,,,
  Resource Capacity,3180,,,,
  Capacity Utilization Ratio,0.07,,,,
  Packaging charges (Direct Charges),,,,,
 Swiggy_Fyole,,,,,
  Net Sales,8264.87,,,,
  No. of Transactions,31,,,,
  Avg Sale Per Transaction,266.61,,,,
  No. of People,31,,,,
  Avg Sale Per Person,266.61,,,,
  Resource Capacity,3180,,,,
  Capacity Utilization Ratio,0.01,,,,
  Packaging charges (Direct Charges),474,,,,
 Takeaway_Fyole,,,,,
  Net Sales,109348.28,,,,
  No. of Transactions,433,,,,
  Avg Sale Per Transaction,252.54,,,,
  No. of People,71,,,,
  Avg Sale Per Person,1540.12,,,,
  Resource Capacity,3180,,,,
  Capacity Utilization Ratio,0.02,,,,
  Packaging charges (Direct Charges),,,,,
 Zomato_Fyole,,,,,
  Net Sales,8341.43,,,,
  No. of Transactions,16,,,,
  Avg Sale Per Transaction,521.34,,,,
  No. of People,16,,,,
  Avg Sale Per Person,521.34,,,,
  Resource Capacity,3180,,,,
  Capacity Utilization Ratio,0.01,,,,
  Packaging charges (Direct Charges),463,,,,
,,,,,
Session Summary,,,It will tak time to achieve this,,
 Breakfast,,,,,
  Net Sales,2224.28,,,,
  No. of Transactions,3,,,,
  Avg Sale Per Transaction,741.43,,,,
  No. of People,8,,,,
  Avg Sale Per Person,278.04,,,,
  Resource Capacity,,,,,
  Capacity Utilization Ratio,,,,,
 Dinner,,,,,
  Net Sales,559116.84,,,,
  No. of Transactions,1324,,,,
  Avg Sale Per Transaction,422.29,,,,
  No. of People,1559,,,,
  Avg Sale Per Person,358.64,,,,
  Resource Capacity,,,,,
  Capacity Utilization Ratio,,,,,
 Evening,,,,,
  Net Sales,403769.28,,,,
  No. of Transactions,919,,,,
  Avg Sale Per Transaction,439.36,,,,
  No. of People,1185,,,,
  Avg Sale Per Person,340.73,,,,
  Resource Capacity,,,,,
  Capacity Utilization Ratio,,,,,
 Lunch,,,,,
  Net Sales,330328.87,,,,
  No. of Transactions,746,,,,
  Avg Sale Per Transaction,442.8,,,,
  No. of People,969,,,,
  Avg Sale Per Person,340.9,,,,
  Resource Capacity,,,,,
  Capacity Utilization Ratio,,,,,
,,,,,
Source Summary,,,,,
 POS,,,,,
  Net Sales,1257892.63,,,,
  No. of Transactions,2891,,,,
  Avg Sale Per Transaction,435.11,,,,
 dotpe,,,,,
  Net Sales,20940.34,,,,
  No. of Transactions,54,,,,
  Avg Sale Per Transaction,387.78,,,,
 swiggy,,,,,
  Net Sales,8264.87,,,,
  No. of Transactions,31,,,,
  Avg Sale Per Transaction,266.61,,,,
 zomato,,,,,
  Net Sales,8341.43,,,,
  No. of Transactions,16,,,,
  Avg Sale Per Transaction,521.34,,,,
